UserId,ServiceId,Rating
20,20,4
18,48,1
1,45,5
12,9,2
2,18,4
5,45,3
12,34,4
7,4,1
20,28,3
2,4,5
16,29,5
5,26,2
12,15,1
17,47,4
1,32,3
3,4,4
20,39,2
19,43,5
17,14,4
13,49,4
16,33,2
4,40,3
9,19,1
5,27,3
2,47,1
10,13,1
6,32,5
19,26,2
10,30,2
1,6,5
2,33,3
18,21,5
9,16,1
14,34,2
7,46,2
9,14,5
12,21,3
16,48,1
10,40,4
5,3,2
9,46,2
15,25,2
20,13,5
2,15,4
17,46,5
10,37,4
14,5,5
20,18,4
4,47,4
11,19,2
7,31,1
14,35,1
8,20,5
17,22,1
9,8,4
3,25,3
8,22,1
19,18,1
9,11,5
8,6,5
15,10,2
19,6,1
11,10,1
17,45,2
13,16,3
1,5,3
18,10,3
13,25,4
7,42,5
17,15,4
13,16,3
9,36,1
2,24,2
20,25,5
18,45,3
19,23,3
13,4,5
11,28,2
19,40,4
20,50,4
16,20,1
17,24,4
6,32,4
10,40,1
19,48,5
14,35,3
1,2,2
18,32,3
6,36,5
13,29,2
10,44,4
13,33,5
4,25,1
17,42,4
4,30,1
19,37,1
16,41,1
16,5,1
18,1,2
14,11,1
6,46,2
17,19,2
14,47,5
11,33,3
14,34,4
2,40,3
5,24,2
5,41,4
1,18,5
4,38,1
17,49,4
4,5,5
19,36,3
14,48,4
5,39,2
11,33,2
15,13,3
18,13,4
5,31,2
1,48,5
5,26,3
5,11,4
8,31,2
12,39,4
16,4,2
9,38,1
5,16,2
11,14,4
16,29,4
17,50,4
9,35,5
8,20,3
10,36,5
18,4,5
4,50,2
3,48,5
12,33,4
3,43,4
14,29,1
20,30,3
18,13,2
18,1,4
6,21,4
2,30,1
12,16,4
13,28,1
18,4,2
10,42,1
1,40,2
2,9,1
12,48,2
9,38,2
3,2,4
19,4,5
13,7,5
19,17,1
17,46,2
4,26,5
1,1,3
16,30,5
17,24,5
10,37,1
2,39,5
7,3,3
6,22,4
4,31,4
4,40,3
16,39,3
8,7,3
17,7,4
3,24,5
7,41,1
15,30,4
19,10,4
18,8,3
4,50,4
14,48,4
9,50,5
4,26,2
4,46,3
10,24,1
10,11,3
5,4,3
17,49,3
10,5,2
16,9,2
9,44,1
1,25,1
1,24,2
11,41,4
1,17,4
2,43,4
1,40,5
4,23,2
19,21,1
18,50,2
6,29,2
8,28,3
15,35,4
8,46,5
